"capture","XIST","Ymean","sex_inferred"
"GSE248728_capture1",7.76206590958458,3.914366364341,"F"
"GSE248728_capture10",7.38400519898412,4.10740452076643,"F"
"GSE248728_capture11",6.76668464309202,3.87974052007236,"F"
"GSE248728_capture12",6.80794849755602,3.9421472300607,"F"
"GSE248728_capture13",7.21315313606207,4.18578586033653,"F"
"GSE248728_capture14",6.93554793625927,4.15077964171182,"F"
"GSE248728_capture2",7.71653937779347,3.76983329348046,"F"
"GSE248728_capture3",7.57808324177464,3.69096998791511,"F"
"GSE248728_capture4",7.37316118977164,3.73018498842163,"F"
"GSE248728_capture5",7.23829000277648,4.08584415229945,"F"
"GSE248728_capture6",6.69374059263771,4.38920563827792,"F"
"GSE248728_capture7",6.90156304402641,4.15894629455517,"F"
"GSE248728_capture8",7.30868638265512,3.95652898947117,"F"
"GSE248728_capture9",6.96837437521616,4.14166947729006,"F"
